l	n	E0[GeV]	M[GeV] 	<1/r>  	Ek[GeV]
0	1	-0.2912	 9.6068	 1.2302	 0.3122
0	2	 0.1684	 10.0664	 0.6634	 0.3393
0	3	 0.4916	 10.3896	 0.5110	 0.4199
0	4	 0.7670	 10.6650	 0.4314	 0.4992
0	5	 1.0148	 10.9128	 0.3801	 0.5743
0	6	 1.2438	 11.1418	 0.3434	 0.6453
0	7	 1.4587	 11.3567	 0.3154	 0.7132
0	8	 1.6625	 11.5605	 0.2932	 0.7783
1	1	 0.0589	 9.9569	 0.5790	 0.2807
1	2	 0.3895	 10.2875	 0.4446	 0.3696
1	3	 0.6709	 10.5689	 0.3746	 0.4537
1	4	 0.9236	 10.8216	 0.3298	 0.5322
1	5	 1.1565	 11.0545	 0.2979	 0.6058
1	6	 1.3747	 11.2727	 0.2737	 0.6757
1	7	 1.5813	 11.4793	 0.2545	 0.7424
1	8	 1.7785	 11.6765	 0.2388	 0.8065
2	1	 0.2745	 10.1725	 0.4105	 0.3174
2	2	 0.5647	 10.4627	 0.3463	 0.4079
2	3	 0.8238	 10.7218	 0.3051	 0.4905
2	4	 1.0617	 10.9597	 0.2757	 0.5672
2	5	 1.2840	 11.1820	 0.2534	 0.6394
2	6	 1.4940	 11.3920	 0.2358	 0.7080
2	7	 1.6941	 11.5921	 0.2213	 0.7735
2	8	 1.8859	 11.7839	 0.2092	 0.8365
