l	n	E0[GeV]	M[GeV] 	<1/r>  	Ek[GeV]
0	1	 0.0441	 3.2281	 0.6699	 0.2978
0	2	 0.6065	 3.7905	 0.4293	 0.4434
0	3	 1.0509	 4.2349	 0.3406	 0.5790
0	4	 1.4397	 4.6237	 0.2907	 0.7028
0	5	 1.7936	 4.9776	 0.2576	 0.8179
0	6	 2.1224	 5.3064	 0.2334	 0.9247
0	7	 2.4321	 5.6161	 0.2147	 1.0252
0	8	 2.7265	 5.9105	 0.1998	 1.1211
1	1	 0.4150	 3.5990	 0.3678	 0.3584
1	2	 0.8797	 4.0637	 0.2919	 0.5067
1	3	 1.2818	 4.4658	 0.2494	 0.6375
1	4	 1.6453	 4.8293	 0.2212	 0.7568
1	5	 1.9817	 5.1657	 0.2008	 0.8677
1	6	 2.2976	 5.4816	 0.1850	 0.9718
1	7	 2.5972	 5.7812	 0.1724	 1.0707
1	8	 2.8834	 6.0674	 0.1620	 1.1653
2	1	 0.6964	 3.8804	 0.2723	 0.4373
2	2	 1.1147	 4.2987	 0.2317	 0.5749
2	3	 1.4897	 4.6737	 0.2052	 0.6989
2	4	 1.8349	 5.0189	 0.1860	 0.8132
2	5	 2.1578	 5.3418	 0.1714	 0.9204
2	6	 2.4631	 5.6471	 0.1597	 1.0218
2	7	 2.7542	 5.9382	 0.1501	 1.1185
2	8	 3.0334	 6.2174	 0.1420	 1.2113
